fips,countyfips,stateab,state,poverty,matchid
0,0,US,United States,15.8,00
1,0,AL,Alabama,18.9,10
1,1,AL,Autauga County,13.5,11
1,3,AL,Baldwin County,14.2,13
1,5,AL,Barbour County,28.2,15
1,7,AL,Bibb County,23.1,17
1,9,AL,Blount County,17.2,19
1,11,AL,Bullock County,35.2,111
1,13,AL,Butler County,28.8,113
1,15,AL,Calhoun County,21.4,115
1,17,AL,Chambers County,22.5,117
1,19,AL,Cherokee County,20.1,119
1,21,AL,Chilton County,20.3,121
1,23,AL,Choctaw County,22.4,123
1,25,AL,Clarke County,25.4,125
1,27,AL,Clay County,19.6,127
1,29,AL,Cleburne County,18.9,129
1,31,AL,Coffee County,18.5,131
1,33,AL,Colbert County,16.3,133
1,35,AL,Conecuh County,30.5,135
1,37,AL,Coosa County,19.9,137
1,39,AL,Covington County,19.2,139
1,41,AL,Crenshaw County,22.2,141
1,43,AL,Cullman County,16.4,143
1,45,AL,Dale County,20.1,145
1,47,AL,Dallas County,31.3,147
1,49,AL,DeKalb County,20,149
1,51,AL,Elmore County,13.4,151
1,53,AL,Escambia County,27.8,153
1,55,AL,Etowah County,19.6,155
1,57,AL,Fayette County,20.7,157
1,59,AL,Franklin County,23.1,159
1,61,AL,Geneva County,23.6,161
1,63,AL,Greene County,35,163
1,65,AL,Hale County,25.7,165
1,67,AL,Henry County,18.2,167
1,69,AL,Houston County,18.1,169
1,71,AL,Jackson County,16.9,171
1,73,AL,Jefferson County,18.9,173
1,75,AL,Lamar County,23,175
1,77,AL,Lauderdale County,17.1,177
1,79,AL,Lawrence County,17.4,179
1,81,AL,Lee County,19.8,181
1,83,AL,Limestone County,15.9,183
1,85,AL,Lowndes County,37,185
1,87,AL,Macon County,33.8,187
1,89,AL,Madison County,13.9,189
1,91,AL,Marengo County,31.5,191
1,93,AL,Marion County,20.8,193
1,95,AL,Marshall County,18.1,195
1,97,AL,Mobile County,20.3,197
1,99,AL,Monroe County,29.7,199
1,101,AL,Montgomery County,22.1,1101
1,103,AL,Morgan County,17.4,1103
1,105,AL,Perry County,36.4,1105
1,107,AL,Pickens County,23.8,1107
1,109,AL,Pike County,25.3,1109
1,111,AL,Randolph County,23.4,1111
1,113,AL,Russell County,23.9,1113
1,115,AL,St. Clair County,14,1115
1,117,AL,Shelby County,8.3,1117
1,119,AL,Sumter County,38,1119
1,121,AL,Talladega County,19.8,1121
1,123,AL,Tallapoosa County,22.2,1123
1,125,AL,Tuscaloosa County,17.2,1125
1,127,AL,Walker County,22,1127
1,129,AL,Washington County,19.7,1129
1,131,AL,Wilcox County,32.4,1131
1,133,AL,Winston County,21.9,1133
2,0,AK,Alaska,10.1,20
2,13,AK,Aleutians East Borough,15.2,213
2,16,AK,Aleutians West Census Area,8.1,216
2,20,AK,Anchorage Borough,7.7,220
2,50,AK,Bethel Census Area,25.1,250
2,60,AK,Bristol Bay Borough,9.5,260
2,68,AK,Denali Borough,5.4,268
2,70,AK,Dillingham Census Area,20.9,270
2,90,AK,Fairbanks North Star Borough,8.8,290
2,100,AK,Haines Borough,11.4,2100
2,105,AK,Hoonah-Angoon Census Area,19.2,2105
2,110,AK,Juneau Borough,7.5,2110
2,122,AK,Kenai Peninsula Borough,10.1,2122
2,130,AK,Ketchikan Gateway Borough,10.3,2130
2,150,AK,Kodiak Island Borough,8.5,2150
2,164,AK,Lake and Peninsula Borough,17.3,2164
2,170,AK,Matanuska-Susitna Borough,9.4,2170
2,180,AK,Nome Census Area,26.3,2180
2,185,AK,North Slope Borough,13.3,2185
2,188,AK,Northwest Arctic Borough,23.3,2188
2,195,AK,Petersburg Census Area,10.7,2195
2,198,AK,Prince of Wales-Hyder Census Area,17.4,2198
2,220,AK,Sitka Borough,9.8,2220
2,230,AK,Skagway Municipality,4.2,2230
2,240,AK,Southeast Fairbanks Census Area,16.1,2240
2,261,AK,Valdez-Cordova Census Area,9.2,2261
2,270,AK,Wade Hampton Census Area,34.7,2270
2,275,AK,Wrangell City and Borough,13.9,2275
2,282,AK,Yakutat Borough,16.7,2282
2,290,AK,Yukon-Koyukuk Census Area,24.4,2290
4,0,AZ,Arizona,18.6,40
4,1,AZ,Apache County,38.7,41
4,3,AZ,Cochise County,18.8,43
4,5,AZ,Coconino County,23.2,45
4,7,AZ,Gila County,22.6,47
4,9,AZ,Graham County,21.6,49
4,11,AZ,Greenlee County,11.6,411
4,12,AZ,La Paz County,23.2,412
4,13,AZ,Maricopa County,17.6,413
4,15,AZ,Mohave County,21.3,415
4,17,AZ,Navajo County,31.8,417
4,19,AZ,Pima County,19.3,419
4,21,AZ,Pinal County,16.7,421
4,23,AZ,Santa Cruz County,22.7,423
4,25,AZ,Yavapai County,16.4,425
4,27,AZ,Yuma County,19.2,427
5,0,AR,Arkansas,19.4,50
5,1,AR,Arkansas County,19.8,51
5,3,AR,Ashley County,21.9,53
5,5,AR,Baxter County,15.6,55
5,7,AR,Benton County,11.7,57
5,9,AR,Boone County,17.2,59
5,11,AR,Bradley County,27,511
5,13,AR,Calhoun County,18.9,513
5,15,AR,Carroll County,22.2,515
5,17,AR,Chicot County,32.4,517
5,19,AR,Clark County,22.7,519
5,21,AR,Clay County,20,521
5,23,AR,Cleburne County,16.3,523
5,25,AR,Cleveland County,17,525
5,27,AR,Columbia County,23.2,527
5,29,AR,Conway County,21.1,529
5,31,AR,Craighead County,20,531
5,33,AR,Crawford County,19.2,533
5,35,AR,Crittenden County,23.6,535
5,37,AR,Cross County,20.6,537
5,39,AR,Dallas County,21.4,539
5,41,AR,Desha County,34,541
5,43,AR,Drew County,24.8,543
5,45,AR,Faulkner County,14.9,545
5,47,AR,Franklin County,20.7,547
5,49,AR,Fulton County,22.9,549
5,51,AR,Garland County,22.1,551
5,53,AR,Grant County,14.2,553
5,55,AR,Greene County,17.7,555
5,57,AR,Hempstead County,22.9,557
5,59,AR,Hot Spring County,18.5,559
5,61,AR,Howard County,21.5,561
5,63,AR,Independence County,18.4,563
5,65,AR,Izard County,20.8,565
5,67,AR,Jackson County,27.5,567
5,69,AR,Jefferson County,25.8,569
5,71,AR,Johnson County,23.4,571
5,73,AR,Lafayette County,26,573
5,75,AR,Lawrence County,20.4,575
5,77,AR,Lee County,41.1,577
5,79,AR,Lincoln County,27.6,579
5,81,AR,Little River County,19.3,581
5,83,AR,Logan County,18.7,583
5,85,AR,Lonoke County,12.6,585
5,87,AR,Madison County,20.2,587
5,89,AR,Marion County,19,589
5,91,AR,Miller County,21.4,591
5,93,AR,Mississippi County,25.6,593
5,95,AR,Monroe County,28.7,595
5,97,AR,Montgomery County,22.4,597
5,99,AR,Nevada County,21.1,599
5,101,AR,Newton County,23.5,5101
5,103,AR,Ouachita County,27.5,5103
5,105,AR,Perry County,17.5,5105
5,107,AR,Phillips County,36.6,5107
5,109,AR,Pike County,21.9,5109
5,111,AR,Poinsett County,24.7,5111
5,113,AR,Polk County,24.4,5113
5,115,AR,Pope County,20,5115
5,117,AR,Prairie County,19.6,5117
5,119,AR,Pulaski County,17.3,5119
5,121,AR,Randolph County,22.6,5121
5,123,AR,St. Francis County,37.3,5123
5,125,AR,Saline County,10.3,5125
5,127,AR,Scott County,21.2,5127
5,129,AR,Searcy County,25.9,5129
5,131,AR,Sebastian County,22.1,5131
5,133,AR,Sevier County,22.2,5133
5,135,AR,Sharp County,22.8,5135
5,137,AR,Stone County,26.2,5137
5,139,AR,Union County,21,5139
5,141,AR,Van Buren County,18.9,5141
5,143,AR,Washington County,20.9,5143
5,145,AR,White County,17.2,5145
5,147,AR,Woodruff County,28,5147
5,149,AR,Yell County,19.7,5149
6,0,CA,California,16.8,60
6,1,CA,Alameda County,13,61
6,3,CA,Alpine County,19.7,63
6,5,CA,Amador County,14.3,65
6,7,CA,Butte County,21.4,67
6,9,CA,Calaveras County,15,69
6,11,CA,Colusa County,13,611
6,13,CA,Contra Costa County,10.8,613
6,15,CA,Del Norte County,23.7,615
6,17,CA,El Dorado County,11.4,617
6,19,CA,Fresno County,28.6,619
6,21,CA,Glenn County,19.1,621
6,23,CA,Humboldt County,21.5,623
6,25,CA,Imperial County,22.7,625
6,27,CA,Inyo County,15.7,627
6,29,CA,Kern County,22.7,629
6,31,CA,Kings County,21.8,631
6,33,CA,Lake County,23.3,633
6,35,CA,Lassen County,19.1,635
6,37,CA,Los Angeles County,19,637
6,39,CA,Madera County,23.4,639
6,41,CA,Marin County,8.7,641
6,43,CA,Mariposa County,16.4,643
6,45,CA,Mendocino County,20.9,645
6,47,CA,Merced County,24.8,647
6,49,CA,Modoc County,20,649
6,51,CA,Mono County,11.8,651
6,53,CA,Monterey County,17.5,653
6,55,CA,Napa County,9.7,655
6,57,CA,Nevada County,12.8,657
6,59,CA,Orange County,13.5,659
6,61,CA,Placer County,8.3,661
6,63,CA,Plumas County,15.7,663
6,65,CA,Riverside County,17.4,665
6,67,CA,Sacramento County,18.9,667
6,69,CA,San Benito County,12.7,669
6,71,CA,San Bernardino County,19.2,671
6,73,CA,San Diego County,15.3,673
6,75,CA,San Francisco County,13.8,675
6,77,CA,San Joaquin County,19.8,677
6,79,CA,San Luis Obispo County,15,679
6,81,CA,San Mateo County,8,681
6,83,CA,Santa Barbara County,16.2,683
6,85,CA,Santa Clara County,10.5,685
6,87,CA,Santa Cruz County,14.9,687
6,89,CA,Shasta County,19.7,689
6,91,CA,Sierra County,14.5,691
6,93,CA,Siskiyou County,20.4,693
6,95,CA,Solano County,12.9,695
6,97,CA,Sonoma County,12.4,697
6,99,CA,Stanislaus County,21.8,699
6,101,CA,Sutter County,17.2,6101
6,103,CA,Tehama County,17.9,6103
6,105,CA,Trinity County,22.1,6105
6,107,CA,Tulare County,29.6,6107
6,109,CA,Tuolumne County,14.6,6109
6,111,CA,Ventura County,12,6111
6,113,CA,Yolo County,17.8,6113
6,115,CA,Yuba County,20.6,6115
8,0,CO,Colorado,12.9,80
8,1,CO,Adams County,13.2,81
8,3,CO,Alamosa County,25.6,83
8,5,CO,Arapahoe County,12.3,85
8,7,CO,Archuleta County,15.1,87
8,9,CO,Baca County,19.1,89
8,11,CO,Bent County,33,811
8,13,CO,Boulder County,13.5,813
8,14,CO,Broomfield County,6.4,814
8,15,CO,Chaffee County,13,815
8,17,CO,Cheyenne County,13.1,817
8,19,CO,Clear Creek County,9.1,819
8,21,CO,Conejos County,22.9,821
8,23,CO,Costilla County,26,823
8,25,CO,Crowley County,43.2,825
8,27,CO,Custer County,14.4,827
8,29,CO,Delta County,15.1,829
8,31,CO,Denver County,18.7,831
8,33,CO,Dolores County,14,833
8,35,CO,Douglas County,3.6,835
8,37,CO,Eagle County,9.5,837
8,39,CO,Elbert County,6.7,839
8,41,CO,El Paso County,11.4,841
8,43,CO,Fremont County,19.7,843
8,45,CO,Garfield County,12.4,845
8,47,CO,Gilpin County,8.1,847
8,49,CO,Grand County,11,849
8,51,CO,Gunnison County,13.7,851
8,53,CO,Hinsdale County,10.6,853
8,55,CO,Huerfano County,22.8,855
8,57,CO,Jackson County,15.7,857
8,59,CO,Jefferson County,9.1,859
8,61,CO,Kiowa County,12.9,861
8,63,CO,Kit Carson County,15.1,863
8,65,CO,Lake County,14.7,865
8,67,CO,La Plata County,12.4,867
8,69,CO,Larimer County,13.8,869
8,71,CO,Las Animas County,18,871
8,73,CO,Lincoln County,19.1,873
8,75,CO,Logan County,16.9,875
8,77,CO,Mesa County,15.4,877
8,79,CO,Mineral County,9.9,879
8,81,CO,Moffat County,11.5,881
8,83,CO,Montezuma County,19.1,883
8,85,CO,Montrose County,15.1,885
8,87,CO,Morgan County,13.5,887
8,89,CO,Otero County,22.5,889
8,91,CO,Ouray County,9.8,891
8,93,CO,Park County,10.3,893
8,95,CO,Phillips County,12.4,895
8,97,CO,Pitkin County,7.3,897
8,99,CO,Prowers County,21.7,899
8,101,CO,Pueblo County,20.1,8101
8,103,CO,Rio Blanco County,10.7,8103
8,105,CO,Rio Grande County,17.9,8105
8,107,CO,Routt County,8.9,8107
8,109,CO,Saguache County,29.4,8109
8,111,CO,San Juan County,15.7,8111
8,113,CO,San Miguel County,11.9,8113
8,115,CO,Sedgwick County,14.5,8115
8,117,CO,Summit County,9.3,8117
8,119,CO,Teller County,8.4,8119
8,121,CO,Washington County,14,8121
8,123,CO,Weld County,13.2,8123
8,125,CO,Yuma County,13,8125
9,0,CT,Connecticut,10.7,90
9,1,CT,Fairfield County,9.6,91
9,3,CT,Hartford County,12.1,93
