cities,raw,address,zip
"Anniston, AL ",Waffle House in 36201 at 1201 S Quintard Ave,1201 S Quintard Ave,36201
"Anniston, AL ",Waffle House in 36201 at 1530 Quintard Ave,1530 Quintard Ave,36201
"Attalla, AL ",Waffle House in 35954 at 802 Cleveland Ave,802 Cleveland Ave,35954
"Attalla, AL ",Waffle House in 35954 at 961 Gilbert Ferry Rd Se,961 Gilbert Ferry Rd Se,35954
"Auburn, AL ",Waffle House in 36830 at 110 W Glenn Ave,110 W Glenn Ave,36830
"Auburn, AL ",Waffle House in 36830 at 2346 Bent Creek Rd,2346 Bent Creek Rd,36830
"Auburn, AL ",Waffle House in 36830 at 1738 Opelika Rd,1738 Opelika Rd,36830
"Auburn, AL ",Waffle House in 36832 at 2167 S College St,2167 S College St,36832
"Bessemer, AL ",Waffle House in 35022 at 3998 Methodist Cir,3998 Methodist Cir,35022
"Bessemer, AL ",Waffle House in 35022 at 5010 Academy Ln,5010 Academy Ln,35022
"Birmingham, AL ",Waffle House in 35205 at 800 11th St S,800 11th St S,35205
"Birmingham, AL ",Waffle House in 35206 at 9227 Parkway E,9227 Parkway E,35206
"Birmingham, AL ",Waffle House in 35209 at 185 Oxmoor Rd,185 Oxmoor Rd,35209
"Birmingham, AL ",Waffle House in 35210 at 1833 Crestwood Boulevard,1833 Crestwood Boulevard,35210
"Birmingham, AL ",Waffle House in 35210 at 1833 Crestwood Blvd,1833 Crestwood Blvd,35210
"Birmingham, AL ",Waffle House in 35216 at 3023 Columbiana Rd,3023 Columbiana Rd,35216
"Birmingham, AL ",Waffle House in 35216 at 1535 Montgomery Hwy,1535 Montgomery Hwy,35216
"Birmingham, AL ",Waffle House in 35217 at 1324 Pinson Valley Pkwy,1324 Pinson Valley Pkwy,35217
"Birmingham, AL ",Waffle House in 35228 at 800 11th St,800 11th St,35228
"Birmingham, AL ",Waffle House in 35228 at 800 11th Street,800 11th Street,35228
"Birmingham, AL ",Waffle House in 35235 at 1440 Gadsden Hwy,1440 Gadsden Hwy,35235
"Birmingham, AL ",Waffle House in 35242 at 5419 Hwy 280,5419 Hwy 280,35242
"Birmingham, AL ",Waffle House in 35244 at 1985 Old Montgomery Highway,1985 Old Montgomery Highway,35244
"Birmingham, AL ",Waffle House in 35244 at 1985 Montgomery Hwy S,1985 Montgomery Hwy S,35244
"Cullman, AL ",Waffle House in 35055 at County Road 437,County Road 437,35055
"Cullman, AL ",Waffle House in 35055 at 1900 Commerce Ave,1900 Commerce Ave,35055
"Daphne, AL ",Waffle House in 36526 at 29100 Us Hwy 98,29100 Us Hwy 98,36526
"Daphne, AL ",Waffle House in 36526-9588 at 6781 US Highway 90,6781 US Highway 90,36526
"Decatur, AL ",Waffle House in 35601 at 2202 6th Ave Se,2202 6th Ave Se,35601
"Decatur, AL ",Waffle House in 35601 at 710 6th Ave NE,710 6th Ave NE,35601
"Dothan, AL ",Waffle House in 36301 at 2442 S Oates St,2442 S Oates St,36301
"Dothan, AL ",Waffle House in 36301 at 2849 Ross Clark Cir,2849 Ross Clark Cir,36301
"Dothan, AL ",Waffle House in 36301 at 1925 E Main St,1925 E Main St,36301
"Dothan, AL ",Waffle House in 36303 at 2325 Reeves St,2325 Reeves St,36303
"Dothan, AL ",Waffle House in 36303 at 3591 Ross Clark Cir,3591 Ross Clark Cir,36303
"Dothan, AL ",Waffle House in 36305 at 4077 W Main St,4077 W Main St,36305
"Dothan, AL ",Waffle House in 36305 at 2971 Ross Clark Cir,2971 Ross Clark Cir,36305
"Fairhope, AL ",Waffle House in 36532 at 373 S Greeno Rd,373 S Greeno Rd,36532
"Fairhope, AL ",Waffle House in 36532 at 373 Greeno Road South,373 Greeno Road South,36532
"Foley, AL ",Waffle House in 36535 at 2660 S Mckenzie St,2660 S Mckenzie St,36535
"Foley, AL ",Waffle House in 36535 at 12615 Foley Beach Expy,12615 Foley Beach Expy,36535
